,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name
53,2,128,256,3,0.0,10,6.514873504638672,4.625568389892578,0.4000008702278137,0.9695661067962646,0.07900761067867279,0.6302460432052612,0.17583465576171875,0.23736101388931274,0.21704992651939392,2.0,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0
54,2,32,128,3,0.0,10,6.645315170288086,4.66054630279541,0.3800019919872284,0.9697616100311279,0.07873503118753433,0.5040104389190674,0.17079514265060425,0.16293491423130035,0.170280322432518,4.0,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0
55,4,64,128,3,0.3,10,4.905828952789307,4.452637195587158,0.4399995505809784,0.9785565137863159,0.06694434583187103,0.45805326104164124,0.11267170310020447,0.25084394216537476,0.09453761577606201,7.0,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3
56,6,32,128,3,0.3,10,4.417315483093262,4.4569621086120605,0.31999996304512024,0.9807119965553284,0.06392935663461685,0.4040161967277527,0.0889093428850174,0.25100263953208923,0.06410446763038635,11.0,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3
57,4,32,128,3,0.5,10,5.034111499786377,4.4974846839904785,0.41999882459640503,0.9788228869438171,0.06757983565330505,0.4092540442943573,0.11247161030769348,0.2068936973810196,0.08988863974809647,10.0,dur_4_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5
58,6,32,128,2,0.5,10,4.306240081787109,4.53922700881958,0.400000661611557,0.9795500636100769,0.06441795825958252,0.42437025904655457,0.09221905469894409,0.255437433719635,0.07671383768320084,10.0,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5
59,6,64,256,3,0.5,10,4.4389801025390625,4.520001411437988,0.47999969124794006,0.980039119720459,0.06504382193088531,0.42483896017074585,0.09002315253019333,0.26309239864349365,0.07172311842441559,10.0,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5
60,2,64,256,3,0.5,10,6.199906826019287,4.645235538482666,0.48000073432922363,0.9697652459144592,0.07710956782102585,0.5604866147041321,0.17224767804145813,0.2092505842447281,0.17898835241794586,4.0,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5
61,4,128,256,3,0.0,10,4.943010330200195,4.334163188934326,0.42000019550323486,0.9791364669799805,0.06634358316659927,0.4412596523761749,0.10723276436328888,0.23904623091220856,0.0949806496500969,10.0,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0
62,6,64,256,2,0.5,10,4.140131950378418,4.366797924041748,0.47999969124794006,0.9813439249992371,0.061953261494636536,0.4062558710575104,0.08556753396987915,0.2692441940307617,0.05144378915429115,17.0,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5
63,2,64,128,2,0.0,10,6.52839469909668,4.671513080596924,0.4199987053871155,0.9691147208213806,0.07934305816888809,0.5812159180641174,0.1755083203315735,0.2106115221977234,0.19509653747081757,3.0,dur_2_bs_64_lstm_hs_128_lstm_nl_2_dropout_0
64,2,128,256,3,0.3,10,6.088785648345947,4.5133538246154785,0.41999921202659607,0.9707058072090149,0.07564966380596161,0.592549204826355,0.1706000119447708,0.224843367934227,0.19710586965084076,4.0,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3
65,6,32,128,2,0.0,10,4.1950459480285645,4.495838165283203,0.3800002932548523,0.9802888631820679,0.06335718929767609,0.3938354551792145,0.08906705677509308,0.23786602914333344,0.06690248101949692,13.0,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0
66,6,64,128,3,0.5,10,4.1428656578063965,4.455489158630371,0.39999982714653015,0.9806337356567383,0.06288108974695206,0.40989530086517334,0.08801106363534927,0.258171945810318,0.06371214985847473,15.0,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5
67,6,128,128,3,0.5,10,4.165343284606934,4.456763744354248,0.4200001657009125,0.9809354543685913,0.06314872205257416,0.40905481576919556,0.08876723051071167,0.2551902234554291,0.06509764492511749,13.0,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5
68,2,32,256,3,0.5,10,6.64948844909668,4.92795467376709,0.44000178575515747,0.9687846302986145,0.08126159757375717,0.5264160633087158,0.181570366024971,0.168800488114357,0.1760449856519699,2.0,dur_2_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5
69,4,32,256,2,0.0,10,5.017470359802246,4.448544502258301,0.48000138998031616,0.9783696532249451,0.06734579056501389,0.4358848035335541,0.11187638342380524,0.23025111854076385,0.09375753998756409,6.0,dur_4_bs_32_lstm_hs_256_lstm_nl_2_dropout_0
70,2,64,128,3,0.3,10,6.245235443115234,4.661508560180664,0.49999964237213135,0.9701059460639954,0.07737670838832855,0.5683313608169556,0.17367032170295715,0.20419779419898987,0.19046232104301453,4.0,dur_2_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3
71,6,64,256,2,0.3,10,4.149478912353516,4.354959964752197,0.4200001657009125,0.9812895655632019,0.061960116028785706,0.3789408802986145,0.08510752767324448,0.2406197041273117,0.053213708102703094,13.0,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3
72,4,64,128,2,0.5,10,4.954120635986328,4.496875286102295,0.45999959111213684,0.9780182838439941,0.06782083213329315,0.4832538664340973,0.1154705062508583,0.25399112701416016,0.1137915626168251,7.0,dur_4_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5
73,2,64,128,3,0.0,10,6.277833938598633,4.716883659362793,0.4400010108947754,0.9704453349113464,0.07801004499197006,0.5659576654434204,0.17116014659404755,0.20914240181446075,0.18565510213375092,4.0,dur_2_bs_64_lstm_hs_128_lstm_nl_3_dropout_0
74,4,32,128,2,0.5,10,5.2589311599731445,4.389154434204102,0.48000138998031616,0.978367030620575,0.06796794384717941,0.4296809136867523,0.11271388083696365,0.22312696278095245,0.0938398689031601,11.0,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5
75,6,32,256,2,0.5,10,4.694381237030029,4.810558795928955,0.45999962091445923,0.9791896343231201,0.06870926171541214,0.42705774307250977,0.09911500662565231,0.2303139716386795,0.09762831032276154,11.0,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5
76,6,128,256,3,0.5,10,4.371530055999756,4.412777423858643,0.43999990820884705,0.9813904762268066,0.06351377069950104,0.3759814500808716,0.08534441888332367,0.23312267661094666,0.05751406401395798,15.0,dur_6_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5
77,2,32,256,3,0.0,10,6.564613342285156,4.840849876403809,0.3999977707862854,0.9694690704345703,0.07982315868139267,0.49523767828941345,0.17059406638145447,0.16365452110767365,0.1609877645969391,4.0,dur_2_bs_32_lstm_hs_256_lstm_nl_3_dropout_0
78,2,128,128,3,0.5,10,6.379348278045654,4.845584392547607,0.43999961018562317,0.9682453274726868,0.08055086433887482,0.626196026802063,0.17856593430042267,0.23307190835475922,0.2145586609840393,3.0,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5
79,4,128,128,3,0.5,10,5.228207588195801,4.404222011566162,0.39999985694885254,0.9783064126968384,0.0684773325920105,0.4895181953907013,0.11334022879600525,0.2654559016227722,0.11072199046611786,9.0,dur_4_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5
80,4,64,256,3,0.5,10,5.134634017944336,4.66627311706543,0.400000661611557,0.9778543710708618,0.07016023248434067,0.4590528905391693,0.11576966941356659,0.22136136889457703,0.12192165851593018,6.0,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5
81,2,32,128,2,0.3,10,6.470369338989258,4.781125068664551,0.3999977707862854,0.9690054655075073,0.0792776569724083,0.5241653323173523,0.17661456763744354,0.16767926514148712,0.17987024784088135,3.0,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3
82,2,32,256,2,0.3,10,6.696552276611328,4.879123210906982,0.44000178575515747,0.968485951423645,0.08117828518152237,0.5532478094100952,0.1862202137708664,0.17730209231376648,0.18972648680210114,2.0,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3
83,4,128,256,2,0.0,10,4.874927520751953,4.264803886413574,0.4599996507167816,0.9791219234466553,0.06543602049350739,0.4511028230190277,0.1079452782869339,0.25803038477897644,0.08512700349092484,10.0,dur_4_bs_128_lstm_hs_256_lstm_nl_2_dropout_0
84,6,128,256,2,0.0,10,4.402981281280518,4.300593376159668,0.4200001657009125,0.9812021255493164,0.06291468441486359,0.3836744427680969,0.08379059284925461,0.24301092326641083,0.05687282979488373,17.0,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0
85,2,32,128,2,0.0,10,6.390638828277588,4.7256855964660645,0.3999977707862854,0.9696537256240845,0.07825374603271484,0.5060144066810608,0.17236106097698212,0.16052700579166412,0.1731269359588623,4.0,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0
86,2,64,128,2,0.5,10,6.270455360412598,4.741993427276611,0.37999922037124634,0.9693129062652588,0.07842514663934708,0.5832403302192688,0.1761082112789154,0.21000955998897552,0.19712218642234802,4.0,dur_2_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5
87,4,32,256,3,0.3,10,5.10965633392334,4.344737529754639,0.41999882459640503,0.9787505865097046,0.06666707992553711,0.43794727325439453,0.10993825644254684,0.24124747514724731,0.08676094561815262,10.0,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3
88,4,32,256,2,0.3,10,5.201068878173828,4.397016525268555,0.41999882459640503,0.9784466624259949,0.0676635205745697,0.42861220240592957,0.11036880314350128,0.23291419446468353,0.08532939851284027,10.0,dur_4_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3
89,4,32,256,3,0.0,10,4.936642169952393,4.374770641326904,0.48000138998031616,0.9787340760231018,0.06617193669080734,0.43648406863212585,0.10878659784793854,0.23937925696372986,0.08831866830587387,8.0,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0
90,6,128,256,2,0.3,10,4.282933712005615,4.310718536376953,0.4600001573562622,0.9813300371170044,0.06236777454614639,0.36274173855781555,0.08405634760856628,0.22420185804367065,0.05448361858725548,17.0,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3
91,6,64,128,3,0.0,10,4.316760063171387,4.431638717651367,0.3600001931190491,0.980562150478363,0.06359084695577621,0.39620241522789,0.08665283024311066,0.24556677043437958,0.06398292630910873,12.0,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0
92,4,32,128,3,0.3,10,4.993274211883545,4.537947654724121,0.4400006830692291,0.9782983064651489,0.06781904399394989,0.4087480306625366,0.11307355761528015,0.20725220441818237,0.08842186629772186,7.0,dur_4_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3
93,2,64,256,2,0.0,10,6.170735836029053,4.565497875213623,0.4600003659725189,0.9707253575325012,0.07618746161460876,0.5445292592048645,0.16990336775779724,0.2059575617313385,0.16866886615753174,4.0,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0
94,4,64,128,2,0.3,10,5.164086818695068,4.537400722503662,0.4399995505809784,0.9780359268188477,0.06918394565582275,0.44930848479270935,0.11523639410734177,0.2332516610622406,0.10082022100687027,6.0,dur_4_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3
95,6,64,256,3,0.0,10,4.098526954650879,4.343420505523682,0.3799998164176941,0.9810242652893066,0.06168077513575554,0.38801708817481995,0.08367491513490677,0.24955563247203827,0.05478652939200401,14.0,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0
96,2,128,128,3,0.0,10,6.472836017608643,4.644067764282227,0.38000041246414185,0.9689530730247498,0.07913824915885925,0.6236981749534607,0.17827743291854858,0.23355558514595032,0.21186549961566925,2.0,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0
97,6,128,256,3,0.0,10,4.140272617340088,4.3598952293396,0.43999990820884705,0.9812939167022705,0.06208670511841774,0.37458038330078125,0.08247426897287369,0.24343369901180267,0.048672471195459366,16.0,dur_6_bs_128_lstm_hs_256_lstm_nl_3_dropout_0
98,4,128,256,2,0.5,10,5.039910316467285,4.404608249664307,0.39999985694885254,0.9788069128990173,0.06748834252357483,0.4758464992046356,0.11134149879217148,0.26096728444099426,0.103537417948246,9.0,dur_4_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5
99,4,32,128,3,0.0,10,5.044559955596924,4.4702863693237305,0.4400006830692291,0.9777864813804626,0.06774907559156418,0.4115062355995178,0.11202133446931839,0.21373747289180756,0.08574741333723068,7.0,dur_4_bs_32_lstm_hs_128_lstm_nl_3_dropout_0
100,4,32,128,2,0.3,10,5.083499431610107,4.4874067306518555,0.45999962091445923,0.9784985780715942,0.06783263385295868,0.4174686372280121,0.11365023255348206,0.21012276411056519,0.09369572252035141,10.0,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3
101,6,32,256,3,0.3,10,4.240877628326416,4.463948726654053,0.4199993312358856,0.9810425043106079,0.06309676170349121,0.3776043653488159,0.08853448182344437,0.2227187305688858,0.06635163724422455,9.0,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3
102,4,64,256,3,0.3,10,4.921124458312988,4.413167953491211,0.4399995505809784,0.9790339469909668,0.06665262579917908,0.41694965958595276,0.11047762632369995,0.20164118707180023,0.10483071208000183,10.0,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3
103,4,64,256,2,0.0,10,5.068226337432861,4.480071067810059,0.45999959111213684,0.9779798984527588,0.0682620108127594,0.4479070007801056,0.11476461589336395,0.21873517334461212,0.1144072487950325,6.0,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0
104,6,32,256,2,0.0,10,4.337989330291748,4.577973365783691,0.400000661611557,0.9802045226097107,0.06475795060396194,0.3850148022174835,0.08978767693042755,0.22647425532341003,0.0687524676322937,7.0,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0
105,2,128,256,2,0.3,10,6.458800315856934,4.740232467651367,0.4000008702278137,0.9692187905311584,0.07983742654323578,0.6335576772689819,0.17835204303264618,0.24016569554805756,0.21504071354866028,2.0,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3
106,4,128,128,2,0.5,10,5.107552528381348,4.393889427185059,0.42000019550323486,0.9784494638442993,0.06775582581758499,0.4856296181678772,0.11387108266353607,0.2584805488586426,0.11327803134918213,10.0,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5
107,4,64,256,2,0.5,10,4.890072822570801,4.421942710876465,0.4799998104572296,0.9784185290336609,0.06683718413114548,0.4727823734283447,0.11364801973104477,0.24459484219551086,0.11453912407159805,7.0,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5
